symbol,entry_date,entry_price,exit_date,exit_price,shares,reason
INDIAMART.NS,2023-03-21,2553.7010522460937,2023-03-23,2463.983501220703,15,early
AUROPHARMA.NS,2023-03-24,500.95046221923826,2023-04-06,534.5648756103516,67,target
OFSS.NS,2023-04-24,3420.767447753906,2023-04-28,3558.288247558594,16,target
NEWGEN.NS,2023-04-26,247.67242805480953,2023-05-02,282.717,127,target
INDIAMART.NS,2023-05-02,2816.8890261230467,2023-05-04,3017.0799975585937,11,target
COROMANDEL.NS,2023-05-04,975.5245377807616,2023-05-05,960.0889378051758,54,early
FLUOROCHEM.NS,2023-04-19,3304.7514011230464,2023-05-09,3319.127501220703,10,early
CYIENT.NS,2023-05-10,1258.6073255615233,2023-05-12,1207.8409987792968,21,early
PRESTIGE.NS,2023-05-15,509.35885610961907,2023-05-17,490.8586560974121,69,early
BRIGADE.NS,2023-05-03,519.8192877807617,2023-05-18,522.72675,80,trail
RAMCOCEM.NS,2023-05-17,789.7889999999999,2023-05-19,843.0561243896484,67,target
LEMONTREE.NS,2023-05-16,94.34424999999999,2023-05-24,93.95595304870604,311,early
HSCL.NS,2023-05-24,127.77765152740477,2023-05-29,124.3755,196,early
CANFINHOME.NS,2023-05-31,707.9072122192382,2023-06-05,713.1361256103515,55,early
CUMMINSIND.NS,2023-05-26,1736.785098876953,2023-06-08,1764.98325,19,early
NLCINDIA.NS,2023-06-05,98.34825,2023-06-13,99.00089847564698,260,early
INDUSINDBK.NS,2023-06-09,1332.381098876953,2023-06-14,1321.92675,41,early
SUNDARMFIN.NS,2023-05-23,2524.071598876953,2023-06-15,2546.301247558594,17,early
HDFCLIFE.NS,2023-06-16,610.1595377807616,2023-06-20,643.0563121948243,70,target
EXIDEIND.NS,2023-06-20,220.5703561096191,2023-06-21,230.06970304870606,205,target
ASIANPAINT.NS,2023-06-13,3266.1129477539057,2023-06-22,3244.801998779297,20,early
VTL.NS,2023-06-21,373.3229622192383,2023-06-22,360.8388121948243,80,early
ECLERX.NS,2023-06-19,1781.7799999999997,2023-06-23,1692.2560012207032,14,early
AUROPHARMA.NS,2023-06-23,699.8491744384764,2023-06-28,738.01125,65,target
POLICYBZR.NS,2023-06-26,699.1985,2023-06-28,692.4068756103516,35,early
M&M.NS,2023-06-30,1455.0535755615233,2023-07-04,1462.985501220703,38,early
CANFINHOME.NS,2023-06-27,780.8800755615233,2023-07-05,768.1311243896484,49,early
CENTURYPLY.NS,2023-06-30,662.4617877807616,2023-07-07,658.8904378051758,44,early
SJVN.NS,2023-07-05,44.044,2023-07-07,47.852101524353024,547,target
